Section,Misc,Player
Section 1,1,B Jean King
Section 1,,F Dürr
Section 1,,S Johnson
Section 1,,D Hard
Section 1,,V Ziegenfuss
Section 1,,J Tegart Dalton
Section 1,,K Melville
Section 1,3,A Jones
Section 1,4,N Richey
Section 1,,K Pigeon
Section 1,,D Carter
Section 1,,B Hansen
Section 1,,M Ann Eisel
Section 1,,J Bartkowicz
Section 1,2,R Casals
Section 1,,K Krantzcke
