Section,Misc,Player
Section1,,Wennerström
Section1,1,Court
Section1,Q,Giscafré
Section1,,Melville
Section1,,Teeguarden
Section1,,Chanfreau
Section1,Q,Pinto Bravo
Section1,,Palmeová-West
Section1,Q,Fuchs
Section1,8,Morozova
Section1,,Kirk
Section1,,Sawamatsu
Section1,,Greenwood
Section1,,Sandberg
Section1,,Martinez
Section1,,Gourlay
Section2,Q,Fernández-De Soto
Section2,4,Richey
Section2,Q,Repoux
Section2,,Hunt
Section2,,Spinoza
Section2,Q,Ebbinghaus
Section2,,Cooper
Section2,,Rossouw
Section2,5,Masthoff
Section2,,Ivanova
Section2,Q,Botha
Section2,,Shaw
Section2,,Porzio
Section2,,Bowrey
Section2,,Moore
Section2,,Bouteleux
Section3,,Kaligis
Section3,,Stöve
Section3,Q,Borka
Section3,,Ziegenfuss
Section3,Q,Pachta
Section3,,Austin
Section3,,Holubová
Section3,6,Dürr
Section3,,Fretz
Section3,,Pericoli
Section3,,Szabó
Section3,,Emmanuel
Section3,,Darmon
Section3,Q,Gilchrist
Section3,Q,Koudelka
Section3,3,Goolagong
Section4,,Liem
Section4,,Walhof
Section4,,de Roubin
Section4,,Schaar
Section4,,Harris
Section4,Q,Vest
Section4,Q,Van Brandis
Section4,7,Heldman
Section4,,Bonicelli
Section4,,Nasuelli
Section4,,Neumannová
Section4,,Szörényi
Section4,,Pigeon
Section4,,Bentzer
Section4,2,Wade
Section4,,Tuero
